feature,importance
hsa-mir-506,161.467541187
hsa-mir-514-3,161.21095418
hsa-mir-514-1,161.088696741
hsa-mir-514-2,161.05588806
hsa-mir-625,160.928644511
hsa-mir-513a-2,160.40872661
hsa-mir-3605,160.378772076
hsa-mir-128-2,160.268023451
hsa-mir-19b-2,160.123763851
hsa-mir-877,159.708422869
hsa-mir-509-2,159.444851852
hsa-mir-509-1,158.89471454
hsa-mir-1193,158.709260748
hsa-mir-658,158.411271779
hsa-mir-199b,157.698021089
hsa-mir-27a,157.38533948
hsa-mir-182,156.932339798
hsa-mir-3199-1,156.74142982
hsa-mir-513a-1,156.437132983
hsa-mir-651,155.463468409
hsa-mir-3934,155.199145061
hsa-mir-3912,154.899861117
hsa-mir-3191,154.85129371
hsa-mir-28,154.816387711
hsa-mir-191,154.376458175
hsa-mir-218-2,153.967660635
hsa-mir-1271,153.65190802
hsa-mir-337,152.82252965
hsa-mir-618,152.55720318
hsa-mir-431,152.283866039
hsa-mir-501,151.969604404
hsa-mir-199a-2,151.776718311
hsa-mir-532,151.189687025
hsa-mir-98,151.098058528
hsa-mir-1976,151.072975578
hsa-mir-493,149.934797704
hsa-mir-302a,149.496623803
hsa-mir-3922,149.355874124
hsa-mir-508,149.292927352
hsa-mir-2110,149.006568317
hsa-mir-24-2,148.929931468
hsa-mir-589,148.81051762
hsa-mir-199a-1,148.273995617
hsa-mir-708,147.432633604
hsa-mir-155,146.701784287
hsa-mir-654,145.931373497
hsa-mir-196b,145.273688422
hsa-mir-301a,144.517367466
hsa-mir-190,143.987189423
hsa-mir-338,142.95977139
hsa-mir-1243,141.764021473
hsa-mir-365-1,141.41107325
hsa-mir-3200,141.238522257
hsa-mir-1179,140.752158902
hsa-mir-744,140.639109833
hsa-mir-3680,140.318270938
hsa-mir-1307,140.25359148
hsa-mir-3127,140.033085645
hsa-mir-365-2,139.987204871
hsa-mir-30b,139.844806143
hsa-mir-450a-2,139.559830235
hsa-mir-450b,139.428725301
hsa-let-7f-2,139.056409757
hsa-mir-510,137.875680735
hsa-mir-484,137.676512037
hsa-mir-376a-2,137.069402999
hsa-mir-421,136.519883266
hsa-mir-1468,135.051873848
hsa-mir-450a-1,134.973882596
hsa-mir-132,134.844729681
hsa-mir-1538,134.003990833
hsa-mir-3173,133.982411591
hsa-mir-195,133.902509888
hsa-mir-148a,133.386949211
hsa-mir-643,133.365921762
hsa-mir-505,133.303589969
hsa-mir-138-1,133.259413572
hsa-mir-3647,133.02695337
hsa-mir-210,132.852232121
hsa-mir-130b,131.564020253
hsa-mir-125b-2,130.683519441
hsa-mir-424,130.541852749
hsa-mir-106a,129.888370473
hsa-mir-639,128.951141497
hsa-mir-3616,127.679710935
hsa-mir-3691,127.64981601
hsa-mir-367,127.498792569
hsa-mir-27b,126.622390985
hsa-mir-296,126.159172919
hsa-mir-574,125.850577016
hsa-mir-138-2,124.864777061
hsa-mir-1270-1,124.812023982
hsa-mir-106b,124.765514688
hsa-mir-181d,124.304181935
hsa-mir-585,124.218329285
hsa-mir-3610,123.860751456
hsa-mir-935,123.852704573
hsa-mir-765,123.78612192
hsa-mir-548j,123.015127396
hsa-mir-513c,122.57216102
hsa-mir-302c,122.451528024
hsa-mir-214,121.159258453
hsa-mir-1270-2,120.657048817
hsa-mir-892a,120.543450499
hsa-mir-3202-2,120.312211163
hsa-mir-3915,120.278988882
hsa-mir-573,120.204867363
hsa-mir-3199-2,120.090000561
hsa-mir-149,119.266287519
hsa-mir-516b-2,119.216234362
hsa-mir-3942,118.958604998
hsa-mir-26b,118.899698425
hsa-mir-483,118.777026742
hsa-mir-362,117.858265533
hsa-mir-23b,117.673600985
hsa-mir-3171,117.338505923
hsa-mir-497,117.297125639
hsa-mir-770,116.913230144
hsa-mir-660,116.912283288
hsa-mir-616,115.737702498
hsa-mir-454,114.79155429
hsa-mir-20b,114.72657092
hsa-mir-892b,114.425588536
hsa-mir-541,113.012964365
hsa-mir-548d-2,112.796095068
hsa-mir-888,111.741631599
hsa-mir-3154,111.536501109
hsa-mir-519a-1,111.47651034
hsa-mir-100,110.874714797
hsa-mir-320b-2,110.391149814
hsa-mir-183,110.293657527
hsa-mir-548d-1,108.769663016
hsa-mir-628,107.256517691
hsa-mir-939,106.915948831
hsa-mir-517c,106.517279962
hsa-mir-3655,105.47076834
hsa-mir-1254,105.245208449
hsa-mir-129-1,104.763407432
hsa-mir-548o,104.065136479
hsa-mir-891b,103.346970963
hsa-mir-627,102.763487052
hsa-mir-3943,102.052982908
hsa-mir-3682,101.740576412
hsa-mir-1262,101.724852142
hsa-mir-129-2,101.628581071
hsa-mir-1197,101.055539478
hsa-mir-3678,100.865588561
hsa-mir-890,100.686429689
hsa-mir-93,100.591321964
hsa-mir-624,100.348013729
hsa-mir-301b,99.2886630753
hsa-mir-26a-1,99.1170838476
hsa-mir-193b,98.9626999085
hsa-mir-3607,98.4961041085
hsa-mir-4326,98.3621107947
hsa-mir-2116,97.9879098571
hsa-mir-331,97.9767131306
hsa-mir-518f,97.9587353844
hsa-mir-548x,97.917156806
hsa-mir-544,96.9604952813
hsa-mir-3940,96.250135187
hsa-mir-632,95.9070702819
hsa-mir-105-2,95.7820634516
hsa-mir-105-1,95.7752333577
hsa-mir-320c-2,95.7474216408
hsa-mir-550a-2,95.5299896176
hsa-mir-3926-1,95.2513164352
hsa-mir-548f-1,94.7450568369
hsa-mir-1274b,94.7378812576
hsa-mir-3684,94.4816707339
hsa-mir-452,94.4299963107
hsa-mir-491,94.1536369816
hsa-mir-1288,93.3840382223
hsa-mir-363,92.1071528365
hsa-mir-24-1,91.8131343778
hsa-mir-581,91.5928820942
hsa-mir-516b-1,90.8901584076
hsa-mir-1228,90.1436540361
hsa-mir-3929,89.7413821657
hsa-mir-519c,88.4002528729
hsa-mir-188,88.2615264762
hsa-mir-767,87.5937864158
hsa-mir-152,87.3146121896
hsa-mir-934,87.1021910222
hsa-mir-1245,87.0081454103
hsa-mir-139,86.9753633749
hsa-mir-3941,86.9593525743
hsa-mir-1272,86.6832870661
hsa-mir-95,86.6023692719
hsa-mir-550a-1,86.5610539251
hsa-mir-26a-2,86.0224391279
hsa-mir-3612,85.6964753444
hsa-mir-1226,85.4608034781
hsa-mir-3170,85.326986908
hsa-mir-145,85.2909197506
hsa-mir-520a,85.2621176248
hsa-mir-636,84.9142068532
hsa-mir-520h,84.3272997493
hsa-mir-335,84.2559189735
hsa-mir-3909,84.0262210322
hsa-mir-3622a,83.8545182849
hsa-mir-512-2,83.7479769467
hsa-mir-769,83.7352147987
hsa-mir-512-1,83.6486077769
hsa-mir-3183,83.3430082333
hsa-mir-518c,82.4215363838
hsa-mir-342,81.468039725
hsa-mir-760,81.4334969326
hsa-mir-517b,81.3029933136
hsa-mir-517a,81.0559450081
hsa-mir-548b,80.8796898657
hsa-mir-383,79.988176655
hsa-mir-887,79.8518071268
hsa-mir-219-1,79.5056012523
hsa-mir-339,78.8790860531
hsa-mir-523,78.3474328867
hsa-mir-326,78.3194567049
hsa-mir-525,78.0258065029
hsa-mir-1293,77.5256729513
hsa-mir-526b,77.5036152453
hsa-mir-3653,77.0911272091
hsa-mir-520g,77.0871346195
hsa-mir-345,76.4969112043
hsa-mir-556,76.3330722007
hsa-mir-2117,75.6732152982
hsa-mir-2277,75.519211376
hsa-mir-548e,75.4993108832
hsa-mir-412,75.261719906
hsa-mir-579,74.3655876617
hsa-mir-3125,74.2358890055
hsa-mir-520b,74.0200791587
hsa-mir-3157,73.4326017365
hsa-mir-3065,73.4046771764
hsa-mir-1229,73.3693583601
hsa-mir-3132,73.1590446104
hsa-mir-520f,73.0537897561
hsa-mir-330,72.8655670095
hsa-mir-514b,72.65804949
hsa-mir-31,72.6054067599
hsa-mir-520e,72.5549389335
hsa-mir-425,72.2994141134
hsa-mir-615,71.9316122569
hsa-mir-1283-1,71.32610203
hsa-mir-592,71.2957395161
hsa-mir-515-2,70.5800485919
hsa-mir-559,70.2441012454
hsa-mir-3140,70.2254102967
hsa-mir-498,69.7034008771
hsa-mir-515-1,69.5279035129
hsa-mir-873,69.4332273011
hsa-mir-3189,68.9391109477
hsa-mir-1914,68.4336166825
hsa-mir-511-1,68.3107163863
hsa-mir-124-3,67.7545031758
hsa-mir-3130-1,67.2916353068
hsa-mir-224,66.9970262988
hsa-mir-196a-1,66.8878719294
hsa-mir-124-1,66.7397071856
hsa-mir-524,66.3691075993
hsa-mir-3667,66.3276234805
hsa-mir-124-2,66.0978738717
hsa-mir-940,66.0787920147
hsa-mir-1266,65.6677990246
hsa-mir-516a-2,65.4436513869
hsa-mir-1181,65.1772827514
hsa-mir-511-2,64.8425638363
hsa-mir-3944,64.5164104462
hsa-mir-520c,64.2962820658
hsa-mir-545,64.1364243289
hsa-mir-504,63.7762890536
hsa-mir-3074,63.6347622223
hsa-mir-519a-2,63.6160571775
hsa-mir-1283-2,63.5449925817
